// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\1125s\source\repos\StudyBenchmarkDotNet\StudyBenchmarkDotNet\bin\Release\netcoreapp3.1\5d5867e0-0cbb-4e36-97ed-1075c1b6b70d
// command took 8.61s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\1125s\source\repos\StudyBenchmarkDotNet\StudyBenchmarkDotNet\bin\Release\netcoreapp3.1\5d5867e0-0cbb-4e36-97ed-1075c1b6b70d
// command took 8.39s and exited with 0
// ***** Done, took 00:00:17 (17.29 sec)   *****
// Found 2 benchmarks:
//   MemoryBenchmarkerDemo.ConcatStringsUsingStringBuilder: DefaultJob
//   MemoryBenchmarkerDemo.ConcatStringUsingGenericList: DefaultJob

// **************************
// Benchmark: MemoryBenchmarkerDemo.ConcatStringsUsingStringBuilder: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5d5867e0-0cbb-4e36-97ed-1075c1b6b70d.dll" --benchmarkName "StudyBenchmarkDotNet.MemoryBenchmarkerDemo.ConcatStringsUsingStringBuilder" --job "Default" --benchmarkId 0 in C:\Users\1125s\source\repos\StudyBenchmarkDotNet\StudyBenchmarkDotNet\bin\Release\netcoreapp3.1\5d5867e0-0cbb-4e36-97ed-1075c1b6b70d\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 500300.00 ns, 500.3000 us/op
WorkloadJitting  1: 1 op, 1839800.00 ns, 1.8398 ms/op

OverheadJitting  2: 16 op, 1361700.00 ns, 85.1063 us/op
WorkloadJitting  2: 16 op, 19236400.00 ns, 1.2023 ms/op

WorkloadPilot    1: 16 op, 17886000.00 ns, 1.1179 ms/op
WorkloadPilot    2: 32 op, 35746900.00 ns, 1.1171 ms/op
WorkloadPilot    3: 64 op, 58854300.00 ns, 919.5984 us/op
WorkloadPilot    4: 128 op, 119069400.00 ns, 930.2297 us/op
WorkloadPilot    5: 256 op, 216041400.00 ns, 843.9117 us/op
WorkloadPilot    6: 512 op, 358559100.00 ns, 700.3107 us/op
WorkloadPilot    7: 1024 op, 767827700.00 ns, 749.8317 us/op

OverheadWarmup   1: 1024 op, 7300.00 ns, 7.1289 ns/op
OverheadWarmup   2: 1024 op, 4600.00 ns, 4.4922 ns/op
OverheadWarmup   3: 1024 op, 4400.00 ns, 4.2969 ns/op
OverheadWarmup   4: 1024 op, 4600.00 ns, 4.4922 ns/op
OverheadWarmup   5: 1024 op, 4600.00 ns, 4.4922 ns/op
OverheadWarmup   6: 1024 op, 4400.00 ns, 4.2969 ns/op
OverheadWarmup   7: 1024 op, 28600.00 ns, 27.9297 ns/op

OverheadActual   1: 1024 op, 4700.00 ns, 4.5898 ns/op
OverheadActual   2: 1024 op, 4600.00 ns, 4.4922 ns/op
OverheadActual   3: 1024 op, 4700.00 ns, 4.5898 ns/op
OverheadActual   4: 1024 op, 4600.00 ns, 4.4922 ns/op
OverheadActual   5: 1024 op, 4500.00 ns, 4.3945 ns/op
OverheadActual   6: 1024 op, 5300.00 ns, 5.1758 ns/op
OverheadActual   7: 1024 op, 25900.00 ns, 25.2930 ns/op
OverheadActual   8: 1024 op, 4500.00 ns, 4.3945 ns/op
OverheadActual   9: 1024 op, 28700.00 ns, 28.0273 ns/op
OverheadActual  10: 1024 op, 25700.00 ns, 25.0977 ns/op
OverheadActual  11: 1024 op, 4500.00 ns, 4.3945 ns/op
OverheadActual  12: 1024 op, 4500.00 ns, 4.3945 ns/op
OverheadActual  13: 1024 op, 23600.00 ns, 23.0469 ns/op
OverheadActual  14: 1024 op, 4600.00 ns, 4.4922 ns/op
OverheadActual  15: 1024 op, 4600.00 ns, 4.4922 ns/op
OverheadActual  16: 1024 op, 4500.00 ns, 4.3945 ns/op
OverheadActual  17: 1024 op, 4700.00 ns, 4.5898 ns/op
OverheadActual  18: 1024 op, 4700.00 ns, 4.5898 ns/op
OverheadActual  19: 1024 op, 4500.00 ns, 4.3945 ns/op

WorkloadWarmup   1: 1024 op, 747585300.00 ns, 730.0638 us/op
WorkloadWarmup   2: 1024 op, 768072300.00 ns, 750.0706 us/op
WorkloadWarmup   3: 1024 op, 747863200.00 ns, 730.3352 us/op
WorkloadWarmup   4: 1024 op, 856984100.00 ns, 836.8985 us/op
WorkloadWarmup   5: 1024 op, 838094000.00 ns, 818.4512 us/op
WorkloadWarmup   6: 1024 op, 817162600.00 ns, 798.0104 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 896947800.00 ns, 875.9256 us/op
WorkloadActual   2: 1024 op, 896237600.00 ns, 875.2320 us/op
WorkloadActual   3: 1024 op, 873534800.00 ns, 853.0613 us/op
